Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.6852,0.75,1.0,0.75
Miss_Needed,0.2222,0.25,0.0,0.1905
False_Detection,0.0926,0.0,0.0,0.0595
Proactive_Score_Accuracy,0.6111,0.25,0.3571,0.5
RMSE,2.0861,1.7854,0.8018,1.874
Precision_Tool_Names,0.5725,0.5,0.7321,0.5853
Recall_Tool_Names,0.6111,0.4688,0.5833,0.5794
F1_Tool_Names,0.5806,0.4708,0.6296,0.5679
Argument_Accuracy,0.4151,0.4259,0.4151,0.4259
