Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.8889,0.5625,0.5714,0.7738
Miss_Needed,0.037,0.4375,0.4286,0.1786
False_Detection,0.0741,0.0,0.0,0.0476
Proactive_Score_Accuracy,0.7963,0.0625,0.3571,0.5833
RMSE,1.3333,2.136,2.6592,1.7862
Precision_Tool_Names,0.7562,0.4062,0.5536,0.6558
Recall_Tool_Names,0.7778,0.2188,0.3036,0.5923
F1_Tool_Names,0.7623,0.2812,0.3707,0.6054
Argument_Accuracy,0.4848,0.4776,0.4848,0.4776
