Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.7037,0.6875,0.8571,0.7262
Miss_Needed,0.2407,0.3125,0.1429,0.2381
False_Detection,0.0556,0.0,0.0,0.0357
Proactive_Score_Accuracy,0.6296,0.1875,0.5,0.5238
RMSE,2.0638,1.9843,1.5353,1.97
Precision_Tool_Names,0.5972,0.5208,0.6548,0.5923
Recall_Tool_Names,0.6111,0.4688,0.5536,0.5744
F1_Tool_Names,0.6,0.4833,0.5932,0.5766
Argument_Accuracy,0.4255,0.4316,0.4255,0.4316
