Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.7778,0.625,1.0,0.7857
Miss_Needed,0.1852,0.375,0.0,0.1905
False_Detection,0.037,0.0,0.0,0.0238
Proactive_Score_Accuracy,0.6852,0.1875,0.7857,0.6071
RMSE,1.9052,2.1065,0.4629,1.7928
Precision_Tool_Names,0.6528,0.4479,0.6702,0.6167
Recall_Tool_Names,0.6852,0.4375,0.494,0.6062
F1_Tool_Names,0.6617,0.425,0.5431,0.5969
Argument_Accuracy,0.4396,0.4409,0.4396,0.4409
