Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.86,0.9767,0.9231,0.8881
Miss_Needed,0.02,0.0233,0.0769,0.0305
False_Detection,0.12,0.0,0.0,0.0814
Proactive_Score_Accuracy,0.715,0.5349,0.5,0.6508
RMSE,1.3838,0.7776,1.2247,1.2849
Precision_Tool_Names,0.7375,0.4729,0.6557,0.6845
Recall_Tool_Names,0.77,0.407,0.4679,0.6638
F1_Tool_Names,0.7467,0.414,0.5181,0.6579
Argument_Accuracy,0.4195,0.4303,0.4286,0.4195
