Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.815,0.9302,0.9808,0.861
Miss_Needed,0.035,0.0698,0.0192,0.0373
False_Detection,0.15,0.0,0.0,0.1017
Proactive_Score_Accuracy,0.67,0.5116,0.5577,0.6271
RMSE,1.5476,1.1206,0.8086,1.3864
Precision_Tool_Names,0.6521,0.3876,0.6593,0.6148
Recall_Tool_Names,0.69,0.3837,0.4596,0.6047
F1_Tool_Names,0.6628,0.369,0.5222,0.5952
Argument_Accuracy,0.356,0.3644,0.3614,0.356
