Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.845,0.5116,0.8269,0.7932
Miss_Needed,0.105,0.4884,0.1731,0.1729
False_Detection,0.05,0.0,0.0,0.0339
Proactive_Score_Accuracy,0.18,0.093,0.25,0.1797
RMSE,1.7421,3.2529,2.0847,2.0895
Precision_Tool_Names,0.7575,0.1899,0.4712,0.6243
Recall_Tool_Names,0.77,0.1628,0.2154,0.5837
F1_Tool_Names,0.7617,0.1698,0.2888,0.592
Argument_Accuracy,0.2692,0.2769,0.2709,0.2692
