Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.83,0.7907,0.9808,0.8508
Miss_Needed,0.07,0.2093,0.0192,0.0814
False_Detection,0.1,0.0,0.0,0.0678
Proactive_Score_Accuracy,0.595,0.4186,0.4808,0.5492
RMSE,1.5604,1.6913,0.9608,1.4935
Precision_Tool_Names,0.7393,0.5,0.7676,0.7094
Recall_Tool_Names,0.78,0.4767,0.5519,0.6956
F1_Tool_Names,0.7517,0.4744,0.6236,0.6887
Argument_Accuracy,0.514,0.5333,0.5255,0.514
