Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.615,0.5581,0.6923,0.6203
Miss_Needed,0.08,0.4419,0.3077,0.1729
False_Detection,0.305,0.0,0.0,0.2068
Proactive_Score_Accuracy,0.485,0.3256,0.3654,0.4407
RMSE,2.192,2.3128,2.0286,2.1824
Precision_Tool_Names,0.51,0.3643,0.4503,0.4782
Recall_Tool_Names,0.53,0.2907,0.2699,0.4493
F1_Tool_Names,0.5158,0.3101,0.3252,0.4522
Argument_Accuracy,0.2713,0.2718,0.2741,0.2713
