Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.735,0.6744,0.7885,0.7356
Miss_Needed,0.085,0.3256,0.2115,0.1424
False_Detection,0.18,0.0,0.0,0.122
Proactive_Score_Accuracy,0.54,0.3023,0.4808,0.4949
RMSE,2.1633,2.579,2.0709,2.2132
Precision_Tool_Names,0.5283,0.4225,0.5978,0.5251
Recall_Tool_Names,0.56,0.314,0.3683,0.4903
F1_Tool_Names,0.5383,0.3481,0.4406,0.4934
Argument_Accuracy,0.3048,0.3178,0.3113,0.3048
