Metric,Level1,Level2,Level3,Overall
Proactive_Index_Accuracy,0.83,0.907,1.0,0.8712
Miss_Needed,0.035,0.093,0.0,0.0373
False_Detection,0.135,0.0,0.0,0.0915
Proactive_Score_Accuracy,0.68,0.5581,0.5192,0.6339
RMSE,1.533,1.2759,0.7721,1.3913
Precision_Tool_Names,0.7179,0.4922,0.7724,0.6946
Recall_Tool_Names,0.76,0.5116,0.5788,0.6919
F1_Tool_Names,0.7303,0.486,0.6536,0.6812
Argument_Accuracy,0.4797,0.4871,0.4848,0.4797
